url,label,categoria,matched_target,notas,campaign
https://www.caixabank.es/particular/banca-digital.html,0,banca,caixabank,home bancaria oficial,
https://accounts.google.com/ServiceLogin?service=wise,0,saas,google,login Google oficial,
https://www.roblox.com/es/upgrades/robux?ctx=navpopover,0,gaming,roblox,portal Roblox oficial,
https://zoom.us/es/join,0,saas,zoom,página de reuniones Zoom oficial,
https://www.roblox.com/es/login,0,gaming,roblox,login Roblox oficial,
https://www.unicismadrid.es,0,público,unimadrid,portal Universidad de Madrid oficial,
https://www.pass.carrefour.es/zona-cliente/,0,e-commerce,carrefour,zona cliente Carrefour oficial,
https://help.coinbase.com/es-es,0,cripto,coinbase,centro de ayuda Coinbase oficial,
https://ing.ingdirect.es/pfm/#login,0,banca,ing,login oficial clientes,
https://www.financieraelcorteingles.es/es/pago-de-recibos/,0,e-commerce,elcorteingles,portal Financiera El Corte Inglés oficial,
https://www.pccomponentes.com/login,0,e-commerce,pccomponentes,login PcComponentes oficial,
https://www.mediamarkt.es/es/service/opciones-de-pago,0,e-commerce,mediamarkt,portal MediaMarkt oficial,
https://www.coinbase.com/es-es,0,cripto,coinbase,portal Coinbase oficial,
https://www.dropbox.com/es_ES/login,0,saas,dropbox,login Dropbox oficial,
https://identidad.ibercaja.es/soporte/plataforma/identidad/api/v1/Account/Login,0,banca,ibercaja,login oficial clientes,
https://www.bancsabadell.com/bsnacional/es/empresas/,0,banca,sabadell,home bancaria oficial,
https://www.mrw.es/seguimiento/,0,logística,mrw,seguimiento/envíos oficial,
https://sede.dgt.gob.es/es/multas/pago-de-multas/,0,público,dgt,sede electrónica DGT (trámites),
https://sede.dgt.gob.es/es/otros-tramites/cita-previa/index.html,0,público,dgt,sede electrónica DGT (trámites),
https://univia.unicajabanco.es/login,0,banca,unicajabanco,login oficial clientes,
https://www.dgt.es/inicio/,0,público,dgt,portal DGT oficial,
https://www.ibercaja.es/particulares/cuentas-tarjetas/cuentas/cuenta-vamos/,0,banca,ibercaja,home bancaria oficial,
https://www.ing.es/sobre-ing/app.html,0,banca,ing,app móvil oficial,
https://www.ionos.es/ayuda/sitios-web-tiendas/comprar-mywebsite-now-y-mywebsite-creator/pagos/,0,saas,ionos,soporte IONOS oficial,
https://www.ionos.es/ayuda/mi-cuenta/factura-11-ionos/consultar-mis-facturas-de-11-ionos/,0,saas,ionos,soporte IONOS oficial,
https://pasarela.clave.gob.es/Proxy2/ServiceProvider,0,público,cl@ve,portal Cl@ve oficial,
https://www.ionos.es/ayuda/mi-cuenta/gestionar-mis-datos-de-acceso-y-contrasenas/iniciar-sesion-en-ionos-login/,0,saas,ionos,login IONOS oficial,
https://www.ing.es/sobre-ing/app-movil-pc,0,banca,ing,app móvil oficial,
https://www.netflix.com/es/login,0,streaming,netflix,login Netflix oficial,
https://sede.agenciatributaria.gob.es,0,público,agenciatributaria,sede electrónica Agencia Tributaria (trámites),
https://areaclientes.orange.es,0,telecomunicaciones,orange,área de clientes Orange oficial,
https://www.microsoft.com/es-es/microsoft-365/outlook/log-in,0,saas,microsoft,portal Outlook oficial,
https://www.netflix.com/es/loginHelp,0,streaming,netflix,soporte/login Netflix oficial,
https://www.zara.com/es/es/logon,0,e-commerce,zara,portal Zara oficial,
https://www.portalcliente.mercadona.es/,0,e-commerce,mercadona,portal Mercadona oficial,
https://solicitudonline.abanca.com/Contratacion/es/contratacion_cuenta_clara_TdC_dinero/J,0,banca,abanca,portal contratación Abanca oficial,
https://www.seg-social.es/wps/portal/wss/internet/Inicio,0,público,seguridadsocial,portal Seguridad Social oficial,
https://www.openbank.es/banca-personal,0,banca,openbank,portal Openbank oficial,
https://www.grupocajarural.es/es,0,banca,cajarural,home Caja Rural oficial,
https://www.kutxabank.es/,0,banca,kutxabank,home bancaria oficial,
https://www.kutxabank.es/bmweb/login,0,banca,kutxabank,login oficial clientes,
https://www.cajaruraldeasturias.com/es/particulares/nueva-ruralvia,0,banca,cajarural,home bancaria oficial,
https://www.bankinter.com/empresas/,0,banca,bankinter,home bancaria oficial,
https://www.ruralcentral.es/es/particulares/004-seguridad-ruralvia,0,banca,cajarural,sección de seguridad oficial,
https://yosoymas.masmovil.es/login/primer-acceso,0,telecomunicaciones,masmovil,portal MasMóvil oficial,
https://bit2me.com/es,0,cripto,bit2me,portal Bit2Me oficial,
https://www.bankinter.com/banca/nav/banca-personal,0,banca,bankinter,home bancaria oficial,
